GAME_ID,HOME_TEAM,HOME_WIN_PCT,HOME_AVG_PTS,HOME_RECENT_WIN_PCT_5,HOME_HOME_WIN_PCT,HOME_AWAY_WIN_PCT,HOME_AVG_FG_PCT,HOME_AVG_FG3_PCT,HOME_AVG_FT_PCT,TARGET,AWAY_TEAM,AWAY_WIN_PCT,AWAY_AVG_PTS,AWAY_RECENT_WIN_PCT_5,AWAY_HOME_WIN_PCT,AWAY_AWAY_WIN_PCT,AWAY_AVG_FG_PCT,AWAY_AVG_FG3_PCT,AWAY_AVG_FT_PCT,WIN_PCT_DIFF,AVG_PTS_DIFF
21500006,BKN,0.0,102.5,0.0,0.0,0.0,0.4405,0.207,0.743,0,BKN,0.8,100.8,0.8,0.0,0.5,0.4468,0.38239999999999996,0.7518,-0.8,1.7000000000000028
21500015,POR,0.3333333333333333,107.66666666666667,0.3333333333333333,1.0,0.0,0.45966666666666667,0.351,0.7886666666666667,1,POR,0.2,97.8,0.2,0.0,0.0,0.388,0.354,0.7442,0.1333333333333333,9.866666666666674
21500013,OKC,1.0,112.5,1.0,1.0,0.0,0.5289999999999999,0.434,0.7669999999999999,1,OKC,0.3333333333333333,100.33333333333333,0.3333333333333333,0.0,0.0,0.4789999999999999,0.347,0.75,0.6666666666666667,12.166666666666671
21500014,PHX,0.6666666666666666,99.33333333333333,0.6666666666666666,0.0,0.0,0.448,0.369,0.677,0,PHX,0.3333333333333333,100.0,0.3333333333333333,0.0,0.5,0.4186666666666667,0.29866666666666664,0.7586666666666666,0.3333333333333333,-0.6666666666666714
21500012,MIL,0.3333333333333333,103.66666666666667,0.3333333333333333,0.5,0.0,0.431,0.3753333333333333,0.7866666666666667,0,MIL,0.5,103.5,0.5,0.0,0.5,0.41800000000000004,0.362,0.7585,-0.16666666666666669,0.1666666666666714
21500008,MIA,0.6666666666666666,101.33333333333333,0.6666666666666666,1.0,0.0,0.43966666666666665,0.43,0.8403333333333333,1,MIA,0.5,93.25,0.5,0.0,0.3333333333333333,0.39425,0.3005,0.7525,0.16666666666666663,8.083333333333329
21500007,DET,0.75,101.75,0.75,0.6666666666666666,0.0,0.42675,0.3465,0.7757499999999999,1,DET,0.3333333333333333,95.66666666666667,0.3333333333333333,0.0,0.0,0.49033333333333334,0.2703333333333333,0.7116666666666666,0.4166666666666667,6.083333333333329
21500004,ORL,0.6666666666666666,94.33333333333333,0.6666666666666666,0.6666666666666666,0.0,0.38433333333333336,0.302,0.6863333333333334,0,ORL,0.3333333333333333,91.66666666666667,0.3333333333333333,0.0,0.3333333333333333,0.4013333333333333,0.25833333333333336,0.7186666666666667,0.3333333333333333,2.666666666666657
21500011,MEM,0.3333333333333333,78.0,0.3333333333333333,0.0,0.0,0.3363333333333333,0.20933333333333334,0.7136666666666667,0,MEM,0.5,100.5,0.5,0.0,0.5,0.446,0.379,0.6174999999999999,-0.16666666666666669,-22.5
21500005,BOS,1.0,97.33333333333333,1.0,1.0,0.0,0.41033333333333327,0.29333333333333333,0.6649999999999999,1,BOS,0.0,80.0,0.0,0.0,0.0,0.3495,0.224,0.753,1.0,17.33333333333333
